fighter_name,Height,Weight,Reach,Stance,DOB
Amber Tackett,,115 lbs.,,,
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988"
Amir Aliakbari,"6' 3""",250 lbs.,,,"Jun 10, 1984"
Amir Rahnavardi,"6' 0""",205 lbs.,,Orthodox,"Dec 07, 1974"
Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980"
An Ying Wang,"6' 0""",170 lbs.,,Orthodox,"Apr 04, 1991"
Anatoly Tokov,"5' 10""",185 lbs.,,,"Feb 17, 1990"
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985"
Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975"
Andre Amado,"6' 0""",154 lbs.,,Orthodox,
